origin_id_pg,destination_id,destination_name,rank_diff,cost_diff,length_diff
34,8,Kamloops,0,-0.15,-1074.06
34,9,Castlegar,0,-1.76,-54790.31
34,10,Elkford,0,-0.15,-1025.97
42,1,Terrace,0,0.08,312.75
42,2,Vancouver,0,0.08,-319.52
42,3,Mackenzie,0,0.09,230.10
42,4,Prince George,0,0.08,-8.39
42,5,Quesnel,0,0.08,-166.88
42,6,Williams Lake,0,0.08,-285.26
42,7,McMahon Gas Plant,0,0.08,359.68
42,8,Kamloops,0,0.08,-309.98
42,9,Castlegar,0,-1.52,-54026.23
42,10,Elkford,0,0.08,-261.89
43,1,Terrace,0,0.06,254.32
43,2,Vancouver,0,0.07,-377.95
43,3,Mackenzie,0,0.07,171.67
43,4,Prince George,0,0.06,-66.82
43,5,Quesnel,0,0.06,-225.30
43,6,Williams Lake,0,0.06,-343.69
43,7,McMahon Gas Plant,0,0.06,301.25
43,8,Kamloops,0,0.06,-368.41
43,9,Castlegar,0,-1.53,-54084.66
43,10,Elkford,0,0.06,-320.32
44,1,Terrace,0,0.04,195.37
44,2,Vancouver,0,0.05,-436.89
44,3,Mackenzie,0,0.05,112.73
44,4,Prince George,0,0.04,-125.76
44,5,Quesnel,0,0.05,-284.25
44,6,Williams Lake,0,0.04,-402.64
44,7,McMahon Gas Plant,0,0.04,242.31
44,8,Kamloops,0,0.04,-427.35
44,9,Castlegar,0,-1.55,-54143.61
44,10,Elkford,0,0.04,-379.27
45,1,Terrace,0,0.03,144.65
45,2,Vancouver,0,0.03,-487.62
45,3,Mackenzie,0,0.03,62.00
45,4,Prince George,0,0.03,-176.49
45,5,Quesnel,0,0.03,-334.98
45,6,Williams Lake,0,0.03,-453.36
45,7,McMahon Gas Plant,0,0.03,191.58
45,8,Kamloops,0,0.03,-478.08
45,9,Castlegar,0,-1.57,-54194.33
45,10,Elkford,0,0.03,-429.99
46,1,Terrace,0,0.01,97.72
46,2,Vancouver,0,0.02,-534.55
46,3,Mackenzie,0,0.02,15.08
46,4,Prince George,0,0.01,-223.41
46,5,Quesnel,0,0.02,-381.90
46,6,Williams Lake,0,0.01,-500.29
46,7,McMahon Gas Plant,0,0.01,144.66
46,8,Kamloops,0,0.01,-525.01
46,9,Castlegar,0,-1.58,-54241.26
46,10,Elkford,0,0.01,-476.92
47,1,Terrace,0,0.00,54.22
47,2,Vancouver,0,0.00,-578.05
47,3,Mackenzie,0,0.01,-28.43
47,4,Prince George,0,0.00,-266.92
47,5,Quesnel,0,0.00,-425.41
47,6,Williams Lake,0,0.00,-543.79
47,7,McMahon Gas Plant,0,0.00,101.15
47,8,Kamloops,0,0.00,-568.51
47,9,Castlegar,0,-1.60,-54284.77
47,10,Elkford,0,0.00,-520.42
48,1,Terrace,0,0.00,52.14
48,2,Vancouver,0,0.00,-580.13
48,3,Mackenzie,0,0.00,-30.51
48,4,Prince George,0,-0.01,-269.01
48,5,Quesnel,0,0.00,-427.49
48,6,Williams Lake,0,0.00,-545.88
48,7,McMahon Gas Plant,0,0.00,99.07
48,8,Kamloops,0,0.00,-570.59
48,9,Castlegar,0,-1.60,-54286.85
48,10,Elkford,0,0.00,-522.50
49,1,Terrace,0,0.00,52.14
49,2,Vancouver,0,0.00,-580.13
49,3,Mackenzie,0,0.00,-30.51
49,4,Prince George,0,-0.01,-269.01
49,5,Quesnel,0,0.00,-427.49
49,6,Williams Lake,0,0.00,-545.88
49,7,McMahon Gas Plant,0,0.00,99.07
49,8,Kamloops,0,0.00,-570.59
49,9,Castlegar,0,-1.60,-54286.85
49,10,Elkford,0,0.00,-522.50
50,1,Terrace,0,-0.02,-15.46
50,2,Vancouver,0,-0.02,-647.73
50,3,Mackenzie,0,-0.02,-98.11
